Date,Value
2023-01-27,99.13700103759766
2023-01-30,99.0620002746582
2023-01-31,99.11899948120117
2023-02-01,100.00899887084961
2023-02-02,100.0270004272461
2023-02-03,99.0719985961914
2023-02-06,98.177001953125
2023-02-07,98.14400100708008
2023-02-08,98.18199920654297
2023-02-09,98.0890007019043
2023-02-10,98.0270004272461
2023-02-13,98.0270004272461
2023-02-14,97.23699951171875
2023-02-15,97.177001953125
2023-02-16,97.17200088500977
2023-02-17,97.2040023803711
2023-02-21,97.01699829101562
2023-02-22,97.03199768066406
2023-02-23,97.0719985961914
2023-02-24,96.26200103759766
2023-02-27,96.28199768066406
2023-02-28,96.30400085449219
2023-03-01,96.15700149536133
2023-03-02,96.08699798583984
2023-03-03,96.18399810791016
2023-03-06,96.16899871826172
2023-03-07,96.11399841308594
2023-03-08,96.06900024414062
2023-03-09,96.24399948120117
2023-03-10,97.28900146484375
2023-03-13,99.052001953125
2023-03-14,98.1870002746582
2023-03-15,99.17900085449219
2023-03-16,98.26399993896484
2023-03-17,100.00699996948242
2023-03-20,99.18199920654297
2023-03-21,98.23699951171875
2023-03-22,99.15700149536133
2023-03-23,100.04700088500977
2023-03-24,100.0890007019043
2023-03-27,99.14199829101562
2023-03-28,99.0369987487793
2023-03-29,99.02199935913086
2023-03-30,99.04899978637695
2023-03-31,99.1240005493164
2023-04-03,99.23899841308594
2023-04-04,100.10900115966797
2023-04-05,100.19200134277344
2023-04-06,100.16699981689453
2023-04-07,99.29700088500977
2023-04-10,99.26200103759766
2023-04-11,99.2140007019043
2023-04-12,99.65900039672852
2023-04-13,99.28199768066406
2023-04-14,99.13899993896484
2023-04-17,99.02199935913086
2023-04-18,99.03199768066406
2023-04-19,98.29700088500977
2023-04-20,99.0989990234375
2023-04-21,99.05699920654297
2023-04-24,99.14199829101562
2023-04-25,100.05699920654297
2023-04-26,99.65900039672852
2023-04-27,99.12900161743164
2023-04-28,99.2239990234375
2023-05-01,99.11399841308594
2023-05-02,100.01699829101562
2023-05-03,100.0989990234375
2023-05-04,100.2869987487793
2023-05-05,100.09199905395508
2023-05-08,99.30400085449219
2023-05-09,99.29899978637695
2023-05-10,100.14699935913086
2023-05-11,100.16400146484375
2023-05-12,100.0369987487793
2023-05-15,100.00699996948242
2023-05-16,99.25699996948242
2023-05-17,99.15399932861328
2023-05-18,99.01699829101562
2023-05-19,98.25399780273438
2023-05-22,98.22900009155273
2023-05-23,98.25899887084961
2023-05-24,98.22700119018555
2023-05-25,98.01200103759766
2023-05-26,97.2869987487793
2023-05-30,98.10900115966797
2023-05-31,98.3239974975586
2023-06-01,98.26900100708008
2023-06-02,98.08699798583984
2023-06-05,98.10699844360352
2023-06-06,98.06700134277344
2023-06-07,97.31399917602539
2023-06-08,98.06399917602539
2023-06-09,97.29399871826172
2023-06-12,98.01200103759766
2023-06-13,97.18899917602539
2023-06-14,97.18899917602539
2023-06-15,97.30400085449219
2023-06-16,97.2040023803711
2023-06-20,97.24399948120117
2023-06-21,97.2490005493164
2023-06-22,97.14900207519531
2023-06-23,97.22200012207031
2023-06-26,97.2490005493164
2023-06-27,97.16200256347656
2023-06-28,97.22900009155273
2023-06-29,97.00699996948242
2023-06-30,97.03199768066406
2023-07-03,96.25899887084961
2023-07-05,96.19200134277344
2023-07-06,96.04899978637695
2023-07-07,96.0989990234375
2023-07-10,96.21699905395508
2023-07-11,96.23400115966797
2023-07-12,97.11899948120117
2023-07-13,97.302001953125
2023-07-14,97.1870002746582
2023-07-17,97.22900009155273
2023-07-18,97.2239990234375
2023-07-19,97.25899887084961
2023-07-20,97.0989990234375
2023-07-21,97.09700012207031
2023-07-24,97.052001953125
